变量一,变量二,Spearman相关系数
fuel_expense_per_month,charging_station_accessibility,-0.006269323012187794
fuel_expense_per_month,nearest_charging_station_km,-0.0005117011541944564
fuel_expense_per_month,electricity_cost_per_kwh,0.00031703034293371636
fuel_expense_per_month,environmental_awareness_score,0.002909975714042699
fuel_expense_per_month,government_incentive_awareness,0.0031245484459152943
fuel_expense_per_month,technology_affinity_score,0.0019366661386323804
fuel_expense_per_month,range_anxiety_score,0.003270469764299661
fuel_expense_per_month,battery_replacement_concern,-0.0036392477045308256
fuel_expense_per_month,ev_knowledge_score,-0.0017795498131662456
charging_station_accessibility,annual_income,0.002124806214418942
charging_station_accessibility,daily_commute_km,-0.00449865829773769
charging_station_accessibility,weekly_travel_distance_km,-0.0023692448571394974
charging_station_accessibility,vehicle_age_years,-0.009975027542460086
charging_station_accessibility,fuel_expense_per_month,-0.006269323012187794
charging_station_accessibility,charging_station_accessibility,1.0
charging_station_accessibility,nearest_charging_station_km,-0.2993326883490309
charging_station_accessibility,electricity_cost_per_kwh,-0.005727675648333624
charging_station_accessibility,environmental_awareness_score,0.0034300870985225426
charging_station_accessibility,government_incentive_awareness,-0.0028601151733205067
charging_station_accessibility,technology_affinity_score,0.0036332228884676586
charging_station_accessibility,range_anxiety_score,-0.001312479055448411
charging_station_accessibility,battery_replacement_concern,0.0008933733210321552
charging_station_accessibility,ev_knowledge_score,0.006261755221875396
nearest_charging_station_km,annual_income,-0.0014982223974906955
nearest_charging_station_km,daily_commute_km,0.0019502930913590278
nearest_charging_station_km,weekly_travel_distance_km,0.0015873755955282383
nearest_charging_station_km,vehicle_age_years,0.00817202330938085
nearest_charging_station_km,fuel_expense_per_month,-0.0005117011541944564
nearest_charging_station_km,charging_station_accessibility,-0.2993326883490309
nearest_charging_station_km,nearest_charging_station_km,1.0
nearest_charging_station_km,electricity_cost_per_kwh,0.0028898410874891632
nearest_charging_station_km,environmental_awareness_score,-0.001098854985544574
nearest_charging_station_km,government_incentive_awareness,-0.002010557884728425
nearest_charging_station_km,technology_affinity_score,0.00010842823620430958
nearest_charging_station_km,range_anxiety_score,0.0020719246398393956
nearest_charging_station_km,battery_replacement_concern,-0.0022920461352409455
nearest_charging_station_km,ev_knowledge_score,-0.0020221528772657823
electricity_cost_per_kwh,annual_income,0.0033844319030140427
electricity_cost_per_kwh,daily_commute_km,-0.00039802319626747813
electricity_cost_per_kwh,weekly_travel_distance_km,0.002202214706471465
electricity_cost_per_kwh,vehicle_age_years,0.00663847392019123
electricity_cost_per_kwh,fuel_expense_per_month,0.00031703034293371636
electricity_cost_per_kwh,charging_station_accessibility,-0.005727675648333624
electricity_cost_per_kwh,nearest_charging_station_km,0.0028898410874891632
electricity_cost_per_kwh,electricity_cost_per_kwh,1.0
electricity_cost_per_kwh,environmental_awareness_score,-0.0029375803759211032
electricity_cost_per_kwh,government_incentive_awareness,0.006374213366869038
electricity_cost_per_kwh,technology_affinity_score,0.005872702089524111
electricity_cost_per_kwh,range_anxiety_score,-0.0022299043951506292
electricity_cost_per_kwh,battery_replacement_concern,0.010090130506516115
electricity_cost_per_kwh,ev_knowledge_score,0.004318826831851165
environmental_awareness_score,annual_income,0.3620806286007483
environmental_awareness_score,daily_commute_km,0.004130801804839914
environmental_awareness_score,weekly_travel_distance_km,0.0055724035876641
environmental_awareness_score,vehicle_age_years,-0.006508729155547616
environmental_awareness_score,fuel_expense_per_month,0.002909975714042699
environmental_awareness_score,charging_station_accessibility,0.0034300870985225426
environmental_awareness_score,nearest_charging_station_km,-0.001098854985544574
environmental_awareness_score,electricity_cost_per_kwh,-0.0029375803759211032
environmental_awareness_score,environmental_awareness_score,1.0
environmental_awareness_score,government_incentive_awareness,0.002448304416621277
environmental_awareness_score,technology_affinity_score,0.48487952837283577
environmental_awareness_score,range_anxiety_score,-0.6219604296376472
environmental_awareness_score,battery_replacement_concern,-0.0033552582985244632
environmental_awareness_score,ev_knowledge_score,0.7304517702554297
government_incentive_awareness,annual_income,8.628631539547453e-05
government_incentive_awareness,daily_commute_km,0.0004660608481928894
government_incentive_awareness,weekly_travel_distance_km,0.0009437818451867175
government_incentive_awareness,vehicle_age_years,-0.0007024794096986591
government_incentive_awareness,fuel_expense_per_month,0.0031245484459152943
government_incentive_awareness,charging_station_accessibility,-0.0028601151733205067
government_incentive_awareness,nearest_charging_station_km,-0.002010557884728425
government_incentive_awareness,electricity_cost_per_kwh,0.006374213366869038
government_incentive_awareness,environmental_awareness_score,0.002448304416621277
government_incentive_awareness,government_incentive_awareness,1.0
government_incentive_awareness,technology_affinity_score,-0.0020065887677503825
government_incentive_awareness,range_anxiety_score,-0.001226932565331665
government_incentive_awareness,battery_replacement_concern,0.004765548631544776
government_incentive_awareness,ev_knowledge_score,0.0015432524448546314
technology_affinity_score,annual_income,0.49888866233618495
technology_affinity_score,daily_commute_km,0.003476812232870079
technology_affinity_score,weekly_travel_distance_km,0.003958895526090412
technology_affinity_score,vehicle_age_years,-0.0017636829599782442
technology_affinity_score,fuel_expense_per_month,0.0019366661386323804
technology_affinity_score,charging_station_accessibility,0.0036332228884676586
technology_affinity_score,nearest_charging_station_km,0.00010842823620430958
technology_affinity_score,electricity_cost_per_kwh,0.005872702089524111
technology_affinity_score,environmental_awareness_score,0.48487952837283577
technology_affinity_score,government_incentive_awareness,-0.0020065887677503825
technology_affinity_score,technology_affinity_score,1.0
technology_affinity_score,range_anxiety_score,-0.6161587958071326
technology_affinity_score,battery_replacement_concern,-0.003141177585621385
technology_affinity_score,ev_knowledge_score,0.7444191074864641
range_anxiety_score,annual_income,-0.42084094866858146
range_anxiety_score,daily_commute_km,0.002245662759412852
range_anxiety_score,weekly_travel_distance_km,0.0014483231190369683
range_anxiety_score,vehicle_age_years,-0.0030707768852864677
range_anxiety_score,fuel_expense_per_month,0.003270469764299661
range_anxiety_score,charging_station_accessibility,-0.001312479055448411
range_anxiety_score,nearest_charging_station_km,0.0020719246398393956
range_anxiety_score,electricity_cost_per_kwh,-0.0022299043951506292
range_anxiety_score,environmental_awareness_score,-0.6219604296376472
range_anxiety_score,government_incentive_awareness,-0.001226932565331665
range_anxiety_score,technology_affinity_score,-0.6161587958071326
range_anxiety_score,range_anxiety_score,1.0
range_anxiety_score,battery_replacement_concern,0.0008735986095471491
range_anxiety_score,ev_knowledge_score,-0.6230854858357295
battery_replacement_concern,annual_income,-0.0009283552441569543
battery_replacement_concern,daily_commute_km,-0.0034963019273109614
battery_replacement_concern,weekly_travel_distance_km,-9.520912098147716e-05
battery_replacement_concern,vehicle_age_years,-0.004985398314001286
battery_replacement_concern,fuel_expense_per_month,-0.0036392477045308256
battery_replacement_concern,charging_station_accessibility,0.0008933733210321552
battery_replacement_concern,nearest_charging_station_km,-0.0022920461352409455
battery_replacement_concern,electricity_cost_per_kwh,0.010090130506516115
battery_replacement_concern,environmental_awareness_score,-0.0033552582985244632
battery_replacement_concern,government_incentive_awareness,0.004765548631544776
battery_replacement_concern,technology_affinity_score,-0.003141177585621385
battery_replacement_concern,range_anxiety_score,0.0008735986095471491
battery_replacement_concern,battery_replacement_concern,1.0
battery_replacement_concern,ev_knowledge_score,-0.004460791514222445
ev_knowledge_score,annual_income,0.43762360732936484
ev_knowledge_score,daily_commute_km,2.2373441037080403e-05
ev_knowledge_score,weekly_travel_distance_km,0.00045064992360036667
ev_knowledge_score,vehicle_age_years,-0.003483655297437276
ev_knowledge_score,fuel_expense_per_month,-0.0017795498131662456
ev_knowledge_score,charging_station_accessibility,0.006261755221875396
ev_knowledge_score,nearest_charging_station_km,-0.0020221528772657823
ev_knowledge_score,electricity_cost_per_kwh,0.004318826831851165
ev_knowledge_score,environmental_awareness_score,0.7304517702554297
ev_knowledge_score,government_incentive_awareness,0.0015432524448546314
ev_knowledge_score,technology_affinity_score,0.7444191074864641
ev_knowledge_score,range_anxiety_score,-0.6230854858357295
ev_knowledge_score,battery_replacement_concern,-0.004460791514222445
ev_knowledge_score,ev_knowledge_score,1.0
