记录键,字段,问题类型,原始值,处理后值,处理方式
14754,fuel_expense_per_month,业务范围异常,-23.9,,"超出[0, inf]，转为缺失值"
15015,fuel_expense_per_month,业务范围异常,-52.0,,"超出[0, inf]，转为缺失值"
15258,fuel_expense_per_month,业务范围异常,-12.0,,"超出[0, inf]，转为缺失值"
15747,fuel_expense_per_month,业务范围异常,-46.7,,"超出[0, inf]，转为缺失值"
16120,fuel_expense_per_month,业务范围异常,-28.2,,"超出[0, inf]，转为缺失值"
16326,fuel_expense_per_month,业务范围异常,-3.5,,"超出[0, inf]，转为缺失值"
17001,fuel_expense_per_month,业务范围异常,-10.8,,"超出[0, inf]，转为缺失值"
17020,fuel_expense_per_month,业务范围异常,-44.4,,"超出[0, inf]，转为缺失值"
17051,fuel_expense_per_month,业务范围异常,-23.0,,"超出[0, inf]，转为缺失值"
17311,fuel_expense_per_month,业务范围异常,-50.7,,"超出[0, inf]，转为缺失值"
17756,fuel_expense_per_month,业务范围异常,-4.2,,"超出[0, inf]，转为缺失值"
17961,fuel_expense_per_month,业务范围异常,-35.4,,"超出[0, inf]，转为缺失值"
18020,fuel_expense_per_month,业务范围异常,-1.5,,"超出[0, inf]，转为缺失值"
18099,fuel_expense_per_month,业务范围异常,-14.1,,"超出[0, inf]，转为缺失值"
18225,fuel_expense_per_month,业务范围异常,-57.4,,"超出[0, inf]，转为缺失值"
18351,fuel_expense_per_month,业务范围异常,-26.5,,"超出[0, inf]，转为缺失值"
18532,fuel_expense_per_month,业务范围异常,-3.9,,"超出[0, inf]，转为缺失值"
18910,fuel_expense_per_month,业务范围异常,-55.6,,"超出[0, inf]，转为缺失值"
18959,fuel_expense_per_month,业务范围异常,-11.4,,"超出[0, inf]，转为缺失值"
19126,fuel_expense_per_month,业务范围异常,-2.5,,"超出[0, inf]，转为缺失值"
19191,fuel_expense_per_month,业务范围异常,-19.7,,"超出[0, inf]，转为缺失值"
19399,fuel_expense_per_month,业务范围异常,-3.9,,"超出[0, inf]，转为缺失值"
19512,fuel_expense_per_month,业务范围异常,-3.4,,"超出[0, inf]，转为缺失值"
19529,fuel_expense_per_month,业务范围异常,-63.7,,"超出[0, inf]，转为缺失值"
19547,fuel_expense_per_month,业务范围异常,-4.6,,"超出[0, inf]，转为缺失值"
20079,fuel_expense_per_month,业务范围异常,-41.0,,"超出[0, inf]，转为缺失值"
20485,fuel_expense_per_month,业务范围异常,-13.6,,"超出[0, inf]，转为缺失值"
20572,fuel_expense_per_month,业务范围异常,-10.6,,"超出[0, inf]，转为缺失值"
20853,fuel_expense_per_month,业务范围异常,-3.3,,"超出[0, inf]，转为缺失值"
20972,fuel_expense_per_month,业务范围异常,-3.5,,"超出[0, inf]，转为缺失值"
21011,fuel_expense_per_month,业务范围异常,-21.7,,"超出[0, inf]，转为缺失值"
21098,fuel_expense_per_month,业务范围异常,-5.0,,"超出[0, inf]，转为缺失值"
21176,fuel_expense_per_month,业务范围异常,-12.0,,"超出[0, inf]，转为缺失值"
21260,fuel_expense_per_month,业务范围异常,-31.5,,"超出[0, inf]，转为缺失值"
21319,fuel_expense_per_month,业务范围异常,-8.5,,"超出[0, inf]，转为缺失值"
21432,fuel_expense_per_month,业务范围异常,-36.3,,"超出[0, inf]，转为缺失值"
21471,fuel_expense_per_month,业务范围异常,-16.4,,"超出[0, inf]，转为缺失值"
21607,fuel_expense_per_month,业务范围异常,-7.5,,"超出[0, inf]，转为缺失值"
21608,fuel_expense_per_month,业务范围异常,-15.5,,"超出[0, inf]，转为缺失值"
21783,fuel_expense_per_month,业务范围异常,-20.8,,"超出[0, inf]，转为缺失值"
21837,fuel_expense_per_month,业务范围异常,-59.3,,"超出[0, inf]，转为缺失值"
21937,fuel_expense_per_month,业务范围异常,-9.6,,"超出[0, inf]，转为缺失值"
22029,fuel_expense_per_month,业务范围异常,-5.8,,"超出[0, inf]，转为缺失值"
22806,fuel_expense_per_month,业务范围异常,-3.6,,"超出[0, inf]，转为缺失值"
22876,fuel_expense_per_month,业务范围异常,-17.1,,"超出[0, inf]，转为缺失值"
22892,fuel_expense_per_month,业务范围异常,-16.0,,"超出[0, inf]，转为缺失值"
22928,fuel_expense_per_month,业务范围异常,-29.2,,"超出[0, inf]，转为缺失值"
23165,fuel_expense_per_month,业务范围异常,-2.6,,"超出[0, inf]，转为缺失值"
23432,fuel_expense_per_month,业务范围异常,-36.5,,"超出[0, inf]，转为缺失值"
23467,fuel_expense_per_month,业务范围异常,-23.5,,"超出[0, inf]，转为缺失值"
23551,fuel_expense_per_month,业务范围异常,-20.4,,"超出[0, inf]，转为缺失值"
23742,fuel_expense_per_month,业务范围异常,-15.9,,"超出[0, inf]，转为缺失值"
24188,fuel_expense_per_month,业务范围异常,-8.7,,"超出[0, inf]，转为缺失值"
24233,fuel_expense_per_month,业务范围异常,-6.7,,"超出[0, inf]，转为缺失值"
24461,fuel_expense_per_month,业务范围异常,-5.9,,"超出[0, inf]，转为缺失值"
24564,fuel_expense_per_month,业务范围异常,-15.4,,"超出[0, inf]，转为缺失值"
24903,fuel_expense_per_month,业务范围异常,-4.5,,"超出[0, inf]，转为缺失值"
25069,fuel_expense_per_month,业务范围异常,-6.2,,"超出[0, inf]，转为缺失值"
25170,fuel_expense_per_month,业务范围异常,-62.1,,"超出[0, inf]，转为缺失值"
25248,fuel_expense_per_month,业务范围异常,-11.1,,"超出[0, inf]，转为缺失值"
25601,fuel_expense_per_month,业务范围异常,-4.7,,"超出[0, inf]，转为缺失值"
25690,fuel_expense_per_month,业务范围异常,-4.6,,"超出[0, inf]，转为缺失值"
25967,fuel_expense_per_month,业务范围异常,-1.4,,"超出[0, inf]，转为缺失值"
25993,fuel_expense_per_month,业务范围异常,-9.6,,"超出[0, inf]，转为缺失值"
26045,fuel_expense_per_month,业务范围异常,-10.3,,"超出[0, inf]，转为缺失值"
26154,fuel_expense_per_month,业务范围异常,-3.0,,"超出[0, inf]，转为缺失值"
26552,fuel_expense_per_month,业务范围异常,-18.0,,"超出[0, inf]，转为缺失值"
26592,fuel_expense_per_month,业务范围异常,-0.5,,"超出[0, inf]，转为缺失值"
27126,fuel_expense_per_month,业务范围异常,-9.5,,"超出[0, inf]，转为缺失值"
27285,fuel_expense_per_month,业务范围异常,-20.5,,"超出[0, inf]，转为缺失值"
27327,fuel_expense_per_month,业务范围异常,-0.4,,"超出[0, inf]，转为缺失值"
27680,fuel_expense_per_month,业务范围异常,-3.5,,"超出[0, inf]，转为缺失值"
27773,fuel_expense_per_month,业务范围异常,-4.5,,"超出[0, inf]，转为缺失值"
27971,fuel_expense_per_month,业务范围异常,-3.8,,"超出[0, inf]，转为缺失值"
28765,fuel_expense_per_month,业务范围异常,-5.7,,"超出[0, inf]，转为缺失值"
28801,fuel_expense_per_month,业务范围异常,-3.2,,"超出[0, inf]，转为缺失值"
29055,fuel_expense_per_month,业务范围异常,-10.2,,"超出[0, inf]，转为缺失值"
29363,fuel_expense_per_month,业务范围异常,-8.2,,"超出[0, inf]，转为缺失值"
29799,fuel_expense_per_month,业务范围异常,-14.9,,"超出[0, inf]，转为缺失值"
29804,fuel_expense_per_month,业务范围异常,-0.7,,"超出[0, inf]，转为缺失值"
29809,fuel_expense_per_month,业务范围异常,-22.6,,"超出[0, inf]，转为缺失值"
30582,fuel_expense_per_month,业务范围异常,-30.9,,"超出[0, inf]，转为缺失值"
30855,fuel_expense_per_month,业务范围异常,-12.2,,"超出[0, inf]，转为缺失值"
30894,fuel_expense_per_month,业务范围异常,-4.1,,"超出[0, inf]，转为缺失值"
31350,fuel_expense_per_month,业务范围异常,-40.2,,"超出[0, inf]，转为缺失值"
31582,fuel_expense_per_month,业务范围异常,-1.1,,"超出[0, inf]，转为缺失值"
31731,fuel_expense_per_month,业务范围异常,-5.6,,"超出[0, inf]，转为缺失值"
31965,fuel_expense_per_month,业务范围异常,-24.7,,"超出[0, inf]，转为缺失值"
32226,fuel_expense_per_month,业务范围异常,-22.9,,"超出[0, inf]，转为缺失值"
32312,fuel_expense_per_month,业务范围异常,-7.5,,"超出[0, inf]，转为缺失值"
32333,fuel_expense_per_month,业务范围异常,-67.5,,"超出[0, inf]，转为缺失值"
32429,fuel_expense_per_month,业务范围异常,-29.3,,"超出[0, inf]，转为缺失值"
32476,fuel_expense_per_month,业务范围异常,-20.4,,"超出[0, inf]，转为缺失值"
32492,fuel_expense_per_month,业务范围异常,-30.3,,"超出[0, inf]，转为缺失值"
32674,fuel_expense_per_month,业务范围异常,-26.1,,"超出[0, inf]，转为缺失值"
32754,fuel_expense_per_month,业务范围异常,-22.0,,"超出[0, inf]，转为缺失值"
32810,fuel_expense_per_month,业务范围异常,-17.2,,"超出[0, inf]，转为缺失值"
32837,fuel_expense_per_month,业务范围异常,-1.3,,"超出[0, inf]，转为缺失值"
32973,fuel_expense_per_month,业务范围异常,-34.3,,"超出[0, inf]，转为缺失值"
33105,fuel_expense_per_month,业务范围异常,-28.0,,"超出[0, inf]，转为缺失值"
33161,fuel_expense_per_month,业务范围异常,-13.5,,"超出[0, inf]，转为缺失值"
33454,fuel_expense_per_month,业务范围异常,-6.3,,"超出[0, inf]，转为缺失值"
33561,fuel_expense_per_month,业务范围异常,-23.6,,"超出[0, inf]，转为缺失值"
33586,fuel_expense_per_month,业务范围异常,-37.9,,"超出[0, inf]，转为缺失值"
33659,fuel_expense_per_month,业务范围异常,-3.8,,"超出[0, inf]，转为缺失值"
33691,fuel_expense_per_month,业务范围异常,-19.2,,"超出[0, inf]，转为缺失值"
33905,fuel_expense_per_month,业务范围异常,-12.0,,"超出[0, inf]，转为缺失值"
34008,fuel_expense_per_month,业务范围异常,-8.4,,"超出[0, inf]，转为缺失值"
34229,fuel_expense_per_month,业务范围异常,-1.1,,"超出[0, inf]，转为缺失值"
34250,fuel_expense_per_month,业务范围异常,-0.3,,"超出[0, inf]，转为缺失值"
34365,fuel_expense_per_month,业务范围异常,-51.9,,"超出[0, inf]，转为缺失值"
34415,fuel_expense_per_month,业务范围异常,-3.1,,"超出[0, inf]，转为缺失值"
34525,fuel_expense_per_month,业务范围异常,-18.4,,"超出[0, inf]，转为缺失值"
34576,fuel_expense_per_month,业务范围异常,-8.5,,"超出[0, inf]，转为缺失值"
34623,fuel_expense_per_month,业务范围异常,-11.7,,"超出[0, inf]，转为缺失值"
35468,fuel_expense_per_month,业务范围异常,-11.4,,"超出[0, inf]，转为缺失值"
35577,fuel_expense_per_month,业务范围异常,-7.3,,"超出[0, inf]，转为缺失值"
35772,fuel_expense_per_month,业务范围异常,-18.6,,"超出[0, inf]，转为缺失值"
35814,fuel_expense_per_month,业务范围异常,-13.0,,"超出[0, inf]，转为缺失值"
35930,fuel_expense_per_month,业务范围异常,-40.7,,"超出[0, inf]，转为缺失值"
35982,fuel_expense_per_month,业务范围异常,-17.3,,"超出[0, inf]，转为缺失值"
36003,fuel_expense_per_month,业务范围异常,-43.1,,"超出[0, inf]，转为缺失值"
36044,fuel_expense_per_month,业务范围异常,-64.3,,"超出[0, inf]，转为缺失值"
36078,fuel_expense_per_month,业务范围异常,-12.0,,"超出[0, inf]，转为缺失值"
36186,fuel_expense_per_month,业务范围异常,-44.6,,"超出[0, inf]，转为缺失值"
36383,fuel_expense_per_month,业务范围异常,-15.6,,"超出[0, inf]，转为缺失值"
36474,fuel_expense_per_month,业务范围异常,-42.9,,"超出[0, inf]，转为缺失值"
36687,fuel_expense_per_month,业务范围异常,-16.7,,"超出[0, inf]，转为缺失值"
37176,fuel_expense_per_month,业务范围异常,-5.1,,"超出[0, inf]，转为缺失值"
37207,fuel_expense_per_month,业务范围异常,-24.0,,"超出[0, inf]，转为缺失值"
37231,fuel_expense_per_month,业务范围异常,-30.6,,"超出[0, inf]，转为缺失值"
37510,fuel_expense_per_month,业务范围异常,-1.5,,"超出[0, inf]，转为缺失值"
37728,fuel_expense_per_month,业务范围异常,-36.2,,"超出[0, inf]，转为缺失值"
37769,fuel_expense_per_month,业务范围异常,-23.1,,"超出[0, inf]，转为缺失值"
37944,fuel_expense_per_month,业务范围异常,-23.0,,"超出[0, inf]，转为缺失值"
38595,fuel_expense_per_month,业务范围异常,-12.2,,"超出[0, inf]，转为缺失值"
39042,fuel_expense_per_month,业务范围异常,-16.7,,"超出[0, inf]，转为缺失值"
39108,fuel_expense_per_month,业务范围异常,-1.4,,"超出[0, inf]，转为缺失值"
39138,fuel_expense_per_month,业务范围异常,-14.4,,"超出[0, inf]，转为缺失值"
39362,fuel_expense_per_month,业务范围异常,-28.8,,"超出[0, inf]，转为缺失值"
39719,fuel_expense_per_month,业务范围异常,-33.1,,"超出[0, inf]，转为缺失值"
40054,fuel_expense_per_month,业务范围异常,-27.2,,"超出[0, inf]，转为缺失值"
40234,fuel_expense_per_month,业务范围异常,-21.8,,"超出[0, inf]，转为缺失值"
40610,fuel_expense_per_month,业务范围异常,-28.5,,"超出[0, inf]，转为缺失值"
40728,fuel_expense_per_month,业务范围异常,-72.2,,"超出[0, inf]，转为缺失值"
40760,fuel_expense_per_month,业务范围异常,-15.8,,"超出[0, inf]，转为缺失值"
40945,fuel_expense_per_month,业务范围异常,-21.7,,"超出[0, inf]，转为缺失值"
41483,fuel_expense_per_month,业务范围异常,-18.3,,"超出[0, inf]，转为缺失值"
41571,fuel_expense_per_month,业务范围异常,-10.6,,"超出[0, inf]，转为缺失值"
41801,fuel_expense_per_month,业务范围异常,-2.5,,"超出[0, inf]，转为缺失值"
41953,fuel_expense_per_month,业务范围异常,-15.6,,"超出[0, inf]，转为缺失值"
42050,fuel_expense_per_month,业务范围异常,-64.0,,"超出[0, inf]，转为缺失值"
42158,fuel_expense_per_month,业务范围异常,-9.8,,"超出[0, inf]，转为缺失值"
42256,fuel_expense_per_month,业务范围异常,-37.4,,"超出[0, inf]，转为缺失值"
42855,fuel_expense_per_month,业务范围异常,-33.5,,"超出[0, inf]，转为缺失值"
43055,fuel_expense_per_month,业务范围异常,-1.5,,"超出[0, inf]，转为缺失值"
43244,fuel_expense_per_month,业务范围异常,-13.3,,"超出[0, inf]，转为缺失值"
43307,fuel_expense_per_month,业务范围异常,-22.7,,"超出[0, inf]，转为缺失值"
43386,fuel_expense_per_month,业务范围异常,-3.1,,"超出[0, inf]，转为缺失值"
43559,fuel_expense_per_month,业务范围异常,-26.0,,"超出[0, inf]，转为缺失值"
43826,fuel_expense_per_month,业务范围异常,-36.9,,"超出[0, inf]，转为缺失值"
43886,fuel_expense_per_month,业务范围异常,-15.5,,"超出[0, inf]，转为缺失值"
44430,fuel_expense_per_month,业务范围异常,-6.2,,"超出[0, inf]，转为缺失值"
44505,fuel_expense_per_month,业务范围异常,-52.7,,"超出[0, inf]，转为缺失值"
44777,fuel_expense_per_month,业务范围异常,-30.7,,"超出[0, inf]，转为缺失值"
44853,fuel_expense_per_month,业务范围异常,-18.0,,"超出[0, inf]，转为缺失值"
44877,fuel_expense_per_month,业务范围异常,-17.1,,"超出[0, inf]，转为缺失值"
45165,fuel_expense_per_month,业务范围异常,-13.0,,"超出[0, inf]，转为缺失值"
45224,fuel_expense_per_month,业务范围异常,-26.1,,"超出[0, inf]，转为缺失值"
45358,fuel_expense_per_month,业务范围异常,-1.9,,"超出[0, inf]，转为缺失值"
45448,fuel_expense_per_month,业务范围异常,-1.3,,"超出[0, inf]，转为缺失值"
45556,fuel_expense_per_month,业务范围异常,-27.3,,"超出[0, inf]，转为缺失值"
45582,fuel_expense_per_month,业务范围异常,-30.7,,"超出[0, inf]，转为缺失值"
45925,fuel_expense_per_month,业务范围异常,-12.0,,"超出[0, inf]，转为缺失值"
45954,fuel_expense_per_month,业务范围异常,-19.6,,"超出[0, inf]，转为缺失值"
46224,fuel_expense_per_month,业务范围异常,-21.1,,"超出[0, inf]，转为缺失值"
46329,fuel_expense_per_month,业务范围异常,-1.1,,"超出[0, inf]，转为缺失值"
46451,fuel_expense_per_month,业务范围异常,-23.8,,"超出[0, inf]，转为缺失值"
46725,fuel_expense_per_month,业务范围异常,-43.0,,"超出[0, inf]，转为缺失值"
47310,fuel_expense_per_month,业务范围异常,-24.9,,"超出[0, inf]，转为缺失值"
47370,fuel_expense_per_month,业务范围异常,-16.9,,"超出[0, inf]，转为缺失值"
48261,fuel_expense_per_month,业务范围异常,-16.1,,"超出[0, inf]，转为缺失值"
48322,fuel_expense_per_month,业务范围异常,-18.2,,"超出[0, inf]，转为缺失值"
48329,fuel_expense_per_month,业务范围异常,-8.5,,"超出[0, inf]，转为缺失值"
48358,fuel_expense_per_month,业务范围异常,-12.0,,"超出[0, inf]，转为缺失值"
48419,fuel_expense_per_month,业务范围异常,-42.3,,"超出[0, inf]，转为缺失值"
49025,fuel_expense_per_month,业务范围异常,-41.3,,"超出[0, inf]，转为缺失值"
49171,fuel_expense_per_month,业务范围异常,-3.1,,"超出[0, inf]，转为缺失值"
49178,fuel_expense_per_month,业务范围异常,-14.1,,"超出[0, inf]，转为缺失值"
49292,fuel_expense_per_month,业务范围异常,-48.6,,"超出[0, inf]，转为缺失值"
49403,fuel_expense_per_month,业务范围异常,-15.0,,"超出[0, inf]，转为缺失值"
