字段,阶段,分位点,数值
fuel_expense_per_month,原始数据,0.92,479.6
fuel_expense_per_month,原始数据,0.93,488.6
fuel_expense_per_month,原始数据,0.9400000000000001,499.3
fuel_expense_per_month,原始数据,0.9500000000000001,512.3
fuel_expense_per_month,原始数据,0.9600000000000001,527.3
fuel_expense_per_month,原始数据,0.97,545.5
fuel_expense_per_month,原始数据,0.98,567.7
fuel_expense_per_month,原始数据,0.99,604.3020000000004
fuel_expense_per_month,规则清洗后,0.01,28.5
fuel_expense_per_month,规则清洗后,0.02,46.6
fuel_expense_per_month,规则清洗后,0.03,61.0
fuel_expense_per_month,规则清洗后,0.04,73.3
fuel_expense_per_month,规则清洗后,0.05,84.4
fuel_expense_per_month,规则清洗后,0.060000000000000005,94.6
fuel_expense_per_month,规则清洗后,0.06999999999999999,103.4
fuel_expense_per_month,规则清洗后,0.08,112.1
fuel_expense_per_month,规则清洗后,0.09,119.3
fuel_expense_per_month,规则清洗后,0.09999999999999999,127.2
fuel_expense_per_month,规则清洗后,0.11,134.5
fuel_expense_per_month,规则清洗后,0.12,141.2
fuel_expense_per_month,规则清洗后,0.13,147.1
fuel_expense_per_month,规则清洗后,0.14,153.7
fuel_expense_per_month,规则清洗后,0.15000000000000002,159.7
fuel_expense_per_month,规则清洗后,0.16,164.8
fuel_expense_per_month,规则清洗后,0.17,170.2
fuel_expense_per_month,规则清洗后,0.18000000000000002,175.20400000000006
fuel_expense_per_month,规则清洗后,0.19,180.1
fuel_expense_per_month,规则清洗后,0.2,184.9
fuel_expense_per_month,规则清洗后,0.21000000000000002,189.5
fuel_expense_per_month,规则清洗后,0.22,193.6
fuel_expense_per_month,规则清洗后,0.23,198.0
fuel_expense_per_month,规则清洗后,0.24000000000000002,202.7
fuel_expense_per_month,规则清洗后,0.25,206.6
fuel_expense_per_month,规则清洗后,0.26,210.8
fuel_expense_per_month,规则清洗后,0.27,214.8
fuel_expense_per_month,规则清洗后,0.28,218.8
fuel_expense_per_month,规则清洗后,0.29000000000000004,222.7
fuel_expense_per_month,规则清洗后,0.3,226.5
fuel_expense_per_month,规则清洗后,0.31,230.3
fuel_expense_per_month,规则清洗后,0.32,233.9
fuel_expense_per_month,规则清洗后,0.33,237.6
fuel_expense_per_month,规则清洗后,0.34,241.3
fuel_expense_per_month,规则清洗后,0.35000000000000003,245.1
fuel_expense_per_month,规则清洗后,0.36000000000000004,248.4
fuel_expense_per_month,规则清洗后,0.37,251.9
fuel_expense_per_month,规则清洗后,0.38,255.6
fuel_expense_per_month,规则清洗后,0.39,259.1
fuel_expense_per_month,规则清洗后,0.4,262.7
fuel_expense_per_month,规则清洗后,0.41000000000000003,265.9
fuel_expense_per_month,规则清洗后,0.42000000000000004,269.1
fuel_expense_per_month,规则清洗后,0.43,272.4
fuel_expense_per_month,规则清洗后,0.44,275.6
fuel_expense_per_month,规则清洗后,0.45,278.9
fuel_expense_per_month,规则清洗后,0.46,282.4
fuel_expense_per_month,规则清洗后,0.47000000000000003,285.8
fuel_expense_per_month,规则清洗后,0.48000000000000004,289.1
fuel_expense_per_month,规则清洗后,0.49,292.4
fuel_expense_per_month,规则清洗后,0.5,295.6
fuel_expense_per_month,规则清洗后,0.51,298.9
fuel_expense_per_month,规则清洗后,0.52,302.1
fuel_expense_per_month,规则清洗后,0.53,305.4
fuel_expense_per_month,规则清洗后,0.54,308.6
fuel_expense_per_month,规则清洗后,0.55,311.9
fuel_expense_per_month,规则清洗后,0.56,315.2
fuel_expense_per_month,规则清洗后,0.5700000000000001,318.5
fuel_expense_per_month,规则清洗后,0.5800000000000001,321.6
fuel_expense_per_month,规则清洗后,0.59,324.8
fuel_expense_per_month,规则清洗后,0.6,328.1
fuel_expense_per_month,规则清洗后,0.61,331.6
fuel_expense_per_month,规则清洗后,0.62,335.0
fuel_expense_per_month,规则清洗后,0.63,338.3
fuel_expense_per_month,规则清洗后,0.64,341.7
fuel_expense_per_month,规则清洗后,0.65,345.3
fuel_expense_per_month,规则清洗后,0.66,349.0
fuel_expense_per_month,规则清洗后,0.67,352.5
fuel_expense_per_month,规则清洗后,0.68,356.1
fuel_expense_per_month,规则清洗后,0.6900000000000001,359.6
fuel_expense_per_month,规则清洗后,0.7000000000000001,363.6
fuel_expense_per_month,规则清洗后,0.7100000000000001,367.5
fuel_expense_per_month,规则清洗后,0.72,371.2
fuel_expense_per_month,规则清洗后,0.73,375.3
fuel_expense_per_month,规则清洗后,0.74,379.3
fuel_expense_per_month,规则清洗后,0.75,383.5
fuel_expense_per_month,规则清洗后,0.76,387.7
fuel_expense_per_month,规则清洗后,0.77,391.8
fuel_expense_per_month,规则清洗后,0.78,396.9
fuel_expense_per_month,规则清洗后,0.79,401.4
fuel_expense_per_month,规则清洗后,0.8,406.0
fuel_expense_per_month,规则清洗后,0.81,411.0
fuel_expense_per_month,规则清洗后,0.8200000000000001,415.7960000000007
fuel_expense_per_month,规则清洗后,0.8300000000000001,420.8
fuel_expense_per_month,规则清洗后,0.8400000000000001,425.7
fuel_expense_per_month,规则清洗后,0.85,431.5
fuel_expense_per_month,规则清洗后,0.86,437.2
fuel_expense_per_month,规则清洗后,0.87,443.6
fuel_expense_per_month,规则清洗后,0.88,449.7
fuel_expense_per_month,规则清洗后,0.89,456.9
fuel_expense_per_month,规则清洗后,0.9,464.2
fuel_expense_per_month,规则清洗后,0.91,472.2
fuel_expense_per_month,规则清洗后,0.92,480.0
fuel_expense_per_month,规则清洗后,0.93,488.90400000000005
fuel_expense_per_month,规则清洗后,0.9400000000000001,499.73199999999997
fuel_expense_per_month,规则清洗后,0.9500000000000001,512.7
fuel_expense_per_month,规则清洗后,0.9600000000000001,527.4880000000005
fuel_expense_per_month,规则清洗后,0.97,545.7
fuel_expense_per_month,规则清洗后,0.98,567.8
fuel_expense_per_month,规则清洗后,0.99,604.5
fuel_expense_per_month,参考插补后,0.01,28.5
fuel_expense_per_month,参考插补后,0.02,46.7
fuel_expense_per_month,参考插补后,0.03,61.2
fuel_expense_per_month,参考插补后,0.04,73.6
fuel_expense_per_month,参考插补后,0.05,84.8
fuel_expense_per_month,参考插补后,0.060000000000000005,94.8
fuel_expense_per_month,参考插补后,0.06999999999999999,103.7
fuel_expense_per_month,参考插补后,0.08,112.5
fuel_expense_per_month,参考插补后,0.09,119.7
fuel_expense_per_month,参考插补后,0.09999999999999999,127.6
fuel_expense_per_month,参考插补后,0.11,134.8
fuel_expense_per_month,参考插补后,0.12,141.6
fuel_expense_per_month,参考插补后,0.13,147.5
fuel_expense_per_month,参考插补后,0.14,154.2
fuel_expense_per_month,参考插补后,0.15000000000000002,160.1
fuel_expense_per_month,参考插补后,0.16,165.4
fuel_expense_per_month,参考插补后,0.17,170.6
fuel_expense_per_month,参考插补后,0.18000000000000002,175.7
fuel_expense_per_month,参考插补后,0.19,180.6
fuel_expense_per_month,参考插补后,0.2,185.5
fuel_expense_per_month,参考插补后,0.21000000000000002,190.0
fuel_expense_per_month,参考插补后,0.22,194.2
fuel_expense_per_month,参考插补后,0.23,198.5
fuel_expense_per_month,参考插补后,0.24000000000000002,203.3
fuel_expense_per_month,参考插补后,0.25,207.1
fuel_expense_per_month,参考插补后,0.26,211.374
fuel_expense_per_month,参考插补后,0.27,215.5
fuel_expense_per_month,参考插补后,0.28,219.5
fuel_expense_per_month,参考插补后,0.29000000000000004,223.2
fuel_expense_per_month,参考插补后,0.3,227.3
fuel_expense_per_month,参考插补后,0.31,230.9
fuel_expense_per_month,参考插补后,0.32,234.5
fuel_expense_per_month,参考插补后,0.33,238.3
fuel_expense_per_month,参考插补后,0.34,242.1
fuel_expense_per_month,参考插补后,0.35000000000000003,245.66500000000013
fuel_expense_per_month,参考插补后,0.36000000000000004,249.0
fuel_expense_per_month,参考插补后,0.37,252.8
fuel_expense_per_month,参考插补后,0.38,256.2
fuel_expense_per_month,参考插补后,0.39,260.0
fuel_expense_per_month,参考插补后,0.4,263.4
fuel_expense_per_month,参考插补后,0.41000000000000003,266.7
fuel_expense_per_month,参考插补后,0.42000000000000004,269.9
fuel_expense_per_month,参考插补后,0.43,273.1
fuel_expense_per_month,参考插补后,0.44,276.4
fuel_expense_per_month,参考插补后,0.45,279.7
fuel_expense_per_month,参考插补后,0.46,283.3
fuel_expense_per_month,参考插补后,0.47000000000000003,286.7
fuel_expense_per_month,参考插补后,0.48000000000000004,289.9
fuel_expense_per_month,参考插补后,0.49,293.2
fuel_expense_per_month,参考插补后,0.5,295.9
fuel_expense_per_month,参考插补后,0.51,298.0
fuel_expense_per_month,参考插补后,0.52,301.3
fuel_expense_per_month,参考插补后,0.53,304.6
fuel_expense_per_month,参考插补后,0.54,307.8
fuel_expense_per_month,参考插补后,0.55,311.0
fuel_expense_per_month,参考插补后,0.56,314.4
fuel_expense_per_month,参考插补后,0.5700000000000001,317.7
fuel_expense_per_month,参考插补后,0.5800000000000001,320.8
fuel_expense_per_month,参考插补后,0.59,324.1
fuel_expense_per_month,参考插补后,0.6,327.4
fuel_expense_per_month,参考插补后,0.61,330.9
fuel_expense_per_month,参考插补后,0.62,334.3
fuel_expense_per_month,参考插补后,0.63,337.6
fuel_expense_per_month,参考插补后,0.64,341.0
fuel_expense_per_month,参考插补后,0.65,344.6
fuel_expense_per_month,参考插补后,0.66,348.3
fuel_expense_per_month,参考插补后,0.67,351.8
fuel_expense_per_month,参考插补后,0.68,355.5
fuel_expense_per_month,参考插补后,0.6900000000000001,359.0
fuel_expense_per_month,参考插补后,0.7000000000000001,362.9
fuel_expense_per_month,参考插补后,0.7100000000000001,366.9
fuel_expense_per_month,参考插补后,0.72,370.6
fuel_expense_per_month,参考插补后,0.73,374.7
fuel_expense_per_month,参考插补后,0.74,378.8
fuel_expense_per_month,参考插补后,0.75,383.0
fuel_expense_per_month,参考插补后,0.76,387.2
fuel_expense_per_month,参考插补后,0.77,391.3
fuel_expense_per_month,参考插补后,0.78,396.3
fuel_expense_per_month,参考插补后,0.79,401.0
fuel_expense_per_month,参考插补后,0.8,405.5
fuel_expense_per_month,参考插补后,0.81,410.4190000000002
fuel_expense_per_month,参考插补后,0.8200000000000001,415.218
fuel_expense_per_month,参考插补后,0.8300000000000001,420.3
fuel_expense_per_month,参考插补后,0.8400000000000001,425.4
fuel_expense_per_month,参考插补后,0.85,431.2
fuel_expense_per_month,参考插补后,0.86,436.7
fuel_expense_per_month,参考插补后,0.87,443.1
fuel_expense_per_month,参考插补后,0.88,449.3
fuel_expense_per_month,参考插补后,0.89,456.6
fuel_expense_per_month,参考插补后,0.9,463.9
fuel_expense_per_month,参考插补后,0.91,471.8
fuel_expense_per_month,参考插补后,0.92,479.6
fuel_expense_per_month,参考插补后,0.93,488.6
fuel_expense_per_month,参考插补后,0.9400000000000001,499.3
fuel_expense_per_month,参考插补后,0.9500000000000001,512.3
fuel_expense_per_month,参考插补后,0.9600000000000001,527.3
fuel_expense_per_month,参考插补后,0.97,545.5
fuel_expense_per_month,参考插补后,0.98,567.7
fuel_expense_per_month,参考插补后,0.99,604.3020000000004
annual_income,原始数据,0.01,10872.0
annual_income,原始数据,0.02,12386.96
annual_income,原始数据,0.03,13638.97
annual_income,原始数据,0.04,14624.84
annual_income,原始数据,0.05,15390.0
annual_income,原始数据,0.060000000000000005,16077.0
annual_income,原始数据,0.06999999999999999,16763.79
annual_income,原始数据,0.08,17408.92
annual_income,原始数据,0.09,18009.0
annual_income,原始数据,0.09999999999999999,18609.9
annual_income,原始数据,0.11,19101.89
annual_income,原始数据,0.12,19600.52
annual_income,原始数据,0.13,20089.87
annual_income,原始数据,0.14,20581.0
annual_income,原始数据,0.15000000000000002,21079.850000000002
annual_income,原始数据,0.16,21550.0
annual_income,原始数据,0.17,22026.0
annual_income,原始数据,0.18000000000000002,22459.82
annual_income,原始数据,0.19,22900.809999999998
annual_income,原始数据,0.2,23370.4
annual_income,原始数据,0.21000000000000002,23802.58
annual_income,原始数据,0.22,24261.0
annual_income,原始数据,0.23,24707.0
annual_income,原始数据,0.24000000000000002,25174.0
annual_income,原始数据,0.25,25617.75
annual_income,原始数据,0.26,26079.48
annual_income,原始数据,0.27,26573.730000000003
annual_income,原始数据,0.28,27016.0
annual_income,原始数据,0.29000000000000004,27465.71
annual_income,原始数据,0.3,27919.699999999997
annual_income,原始数据,0.31,28372.0
annual_income,原始数据,0.32,28811.36
annual_income,原始数据,0.33,29256.0
annual_income,原始数据,0.34,29728.66
annual_income,原始数据,0.35000000000000003,30187.300000000003
annual_income,原始数据,0.36000000000000004,30674.0
annual_income,原始数据,0.37,31136.0
annual_income,原始数据,0.38,31635.62
annual_income,原始数据,0.39,32134.660000000003
annual_income,原始数据,0.4,32621.0
annual_income,原始数据,0.41000000000000003,33147.59
annual_income,原始数据,0.42000000000000004,33648.58
annual_income,原始数据,0.43,34170.57
annual_income,原始数据,0.44,34660.56
annual_income,原始数据,0.45,35196.0
annual_income,原始数据,0.46,35734.54
annual_income,原始数据,0.47000000000000003,36263.53
annual_income,原始数据,0.48000000000000004,36810.520000000004
annual_income,原始数据,0.49,37320.0
annual_income,原始数据,0.5,37891.0
annual_income,原始数据,0.51,38449.98
annual_income,原始数据,0.52,38999.479999999996
annual_income,原始数据,0.53,39599.47
annual_income,原始数据,0.54,40226.0
annual_income,原始数据,0.55,40792.8
annual_income,原始数据,0.56,41423.0
annual_income,原始数据,0.5700000000000001,42018.0
annual_income,原始数据,0.5800000000000001,42656.42
annual_income,原始数据,0.59,43369.41
annual_income,原始数据,0.6,43980.799999999996
annual_income,原始数据,0.61,44684.39
annual_income,原始数据,0.62,45392.0
annual_income,原始数据,0.63,46062.479999999996
annual_income,原始数据,0.64,46854.36
annual_income,原始数据,0.65,47646.40000000001
annual_income,原始数据,0.66,48411.0
annual_income,原始数据,0.67,49229.66
annual_income,原始数据,0.68,49927.32
annual_income,原始数据,0.6900000000000001,50712.310000000005
annual_income,原始数据,0.7000000000000001,51517.3
annual_income,原始数据,0.7100000000000001,52394.450000000004
annual_income,原始数据,0.72,53296.84
annual_income,原始数据,0.73,54242.27
annual_income,原始数据,0.74,55171.780000000006
annual_income,原始数据,0.75,56051.25
annual_income,原始数据,0.76,57110.24
annual_income,原始数据,0.77,58123.23
annual_income,原始数据,0.78,59304.880000000005
annual_income,原始数据,0.79,60493.0
annual_income,原始数据,0.8,61667.200000000004
annual_income,原始数据,0.81,62953.380000000005
annual_income,原始数据,0.8200000000000001,64191.18
annual_income,原始数据,0.8300000000000001,65568.68000000002
annual_income,原始数据,0.8400000000000001,67104.12000000002
annual_income,原始数据,0.85,68607.15
annual_income,原始数据,0.86,70188.7
annual_income,原始数据,0.87,71994.0
annual_income,原始数据,0.88,73942.08000000002
annual_income,原始数据,0.89,75980.33
annual_income,原始数据,0.9,78386.4
annual_income,原始数据,0.91,80925.27000000002
annual_income,原始数据,0.92,83849.16
annual_income,原始数据,0.93,86923.14
annual_income,原始数据,0.9400000000000001,90582.06
annual_income,原始数据,0.9500000000000001,95171.20000000001
annual_income,原始数据,0.9600000000000001,100227.32
annual_income,原始数据,0.97,107156.03
annual_income,原始数据,0.98,117148.21999999997
annual_income,原始数据,0.99,133151.01
annual_income,规则清洗后,0.01,10872.0
annual_income,规则清洗后,0.02,12386.96
annual_income,规则清洗后,0.03,13638.97
annual_income,规则清洗后,0.04,14624.84
annual_income,规则清洗后,0.05,15390.0
annual_income,规则清洗后,0.060000000000000005,16077.0
annual_income,规则清洗后,0.06999999999999999,16763.79
annual_income,规则清洗后,0.08,17408.92
annual_income,规则清洗后,0.09,18009.0
annual_income,规则清洗后,0.09999999999999999,18609.9
annual_income,规则清洗后,0.11,19101.89
annual_income,规则清洗后,0.12,19600.52
annual_income,规则清洗后,0.13,20089.87
annual_income,规则清洗后,0.14,20581.0
annual_income,规则清洗后,0.15000000000000002,21079.850000000002
annual_income,规则清洗后,0.16,21550.0
annual_income,规则清洗后,0.17,22026.0
annual_income,规则清洗后,0.18000000000000002,22459.82
annual_income,规则清洗后,0.19,22900.809999999998
annual_income,规则清洗后,0.2,23370.4
annual_income,规则清洗后,0.21000000000000002,23802.58
annual_income,规则清洗后,0.22,24261.0
annual_income,规则清洗后,0.23,24707.0
annual_income,规则清洗后,0.24000000000000002,25174.0
annual_income,规则清洗后,0.25,25617.75
annual_income,规则清洗后,0.26,26079.48
annual_income,规则清洗后,0.27,26573.730000000003
annual_income,规则清洗后,0.28,27016.0
annual_income,规则清洗后,0.29000000000000004,27465.71
annual_income,规则清洗后,0.3,27919.699999999997
annual_income,规则清洗后,0.31,28372.0
annual_income,规则清洗后,0.32,28811.36
annual_income,规则清洗后,0.33,29256.0
annual_income,规则清洗后,0.34,29728.66
annual_income,规则清洗后,0.35000000000000003,30187.300000000003
annual_income,规则清洗后,0.36000000000000004,30674.0
annual_income,规则清洗后,0.37,31136.0
annual_income,规则清洗后,0.38,31635.62
annual_income,规则清洗后,0.39,32134.660000000003
annual_income,规则清洗后,0.4,32621.0
annual_income,规则清洗后,0.41000000000000003,33147.59
annual_income,规则清洗后,0.42000000000000004,33648.58
annual_income,规则清洗后,0.43,34170.57
annual_income,规则清洗后,0.44,34660.56
annual_income,规则清洗后,0.45,35196.0
annual_income,规则清洗后,0.46,35734.54
annual_income,规则清洗后,0.47000000000000003,36263.53
annual_income,规则清洗后,0.48000000000000004,36810.520000000004
annual_income,规则清洗后,0.49,37320.0
annual_income,规则清洗后,0.5,37891.0
annual_income,规则清洗后,0.51,38449.98
annual_income,规则清洗后,0.52,38999.479999999996
annual_income,规则清洗后,0.53,39599.47
annual_income,规则清洗后,0.54,40226.0
annual_income,规则清洗后,0.55,40792.8
annual_income,规则清洗后,0.56,41423.0
annual_income,规则清洗后,0.5700000000000001,42018.0
annual_income,规则清洗后,0.5800000000000001,42656.42
annual_income,规则清洗后,0.59,43369.41
annual_income,规则清洗后,0.6,43980.799999999996
annual_income,规则清洗后,0.61,44684.39
annual_income,规则清洗后,0.62,45392.0
annual_income,规则清洗后,0.63,46062.479999999996
annual_income,规则清洗后,0.64,46854.36
annual_income,规则清洗后,0.65,47646.40000000001
annual_income,规则清洗后,0.66,48411.0
annual_income,规则清洗后,0.67,49229.66
annual_income,规则清洗后,0.68,49927.32
annual_income,规则清洗后,0.6900000000000001,50712.310000000005
annual_income,规则清洗后,0.7000000000000001,51517.3
annual_income,规则清洗后,0.7100000000000001,52394.450000000004
annual_income,规则清洗后,0.72,53296.84
annual_income,规则清洗后,0.73,54242.27
annual_income,规则清洗后,0.74,55171.780000000006
annual_income,规则清洗后,0.75,56051.25
annual_income,规则清洗后,0.76,57110.24
annual_income,规则清洗后,0.77,58123.23
annual_income,规则清洗后,0.78,59304.880000000005
annual_income,规则清洗后,0.79,60493.0
annual_income,规则清洗后,0.8,61667.200000000004
annual_income,规则清洗后,0.81,62953.380000000005
annual_income,规则清洗后,0.8200000000000001,64191.18
annual_income,规则清洗后,0.8300000000000001,65568.68000000002
annual_income,规则清洗后,0.8400000000000001,67104.12000000002
annual_income,规则清洗后,0.85,68607.15
annual_income,规则清洗后,0.86,70188.7
annual_income,规则清洗后,0.87,71994.0
annual_income,规则清洗后,0.88,73942.08000000002
annual_income,规则清洗后,0.89,75980.33
annual_income,规则清洗后,0.9,78386.4
annual_income,规则清洗后,0.91,80925.27000000002
annual_income,规则清洗后,0.92,83849.16
annual_income,规则清洗后,0.93,86923.14
annual_income,规则清洗后,0.9400000000000001,90582.06
annual_income,规则清洗后,0.9500000000000001,95171.20000000001
annual_income,规则清洗后,0.9600000000000001,100227.32
annual_income,规则清洗后,0.97,107156.03
annual_income,规则清洗后,0.98,117148.21999999997
annual_income,规则清洗后,0.99,133151.01
annual_income,参考插补后,0.01,10872.0
annual_income,参考插补后,0.02,12386.96
annual_income,参考插补后,0.03,13638.97
annual_income,参考插补后,0.04,14624.84
annual_income,参考插补后,0.05,15390.0
annual_income,参考插补后,0.060000000000000005,16077.0
annual_income,参考插补后,0.06999999999999999,16763.79
annual_income,参考插补后,0.08,17408.92
annual_income,参考插补后,0.09,18009.0
annual_income,参考插补后,0.09999999999999999,18609.9
annual_income,参考插补后,0.11,19101.89
annual_income,参考插补后,0.12,19600.52
annual_income,参考插补后,0.13,20089.87
annual_income,参考插补后,0.14,20581.0
annual_income,参考插补后,0.15000000000000002,21079.850000000002
annual_income,参考插补后,0.16,21550.0
annual_income,参考插补后,0.17,22026.0
annual_income,参考插补后,0.18000000000000002,22459.82
annual_income,参考插补后,0.19,22900.809999999998
annual_income,参考插补后,0.2,23370.4
annual_income,参考插补后,0.21000000000000002,23802.58
annual_income,参考插补后,0.22,24261.0
annual_income,参考插补后,0.23,24707.0
annual_income,参考插补后,0.24000000000000002,25174.0
annual_income,参考插补后,0.25,25617.75
annual_income,参考插补后,0.26,26079.48
annual_income,参考插补后,0.27,26573.730000000003
annual_income,参考插补后,0.28,27016.0
annual_income,参考插补后,0.29000000000000004,27465.71
annual_income,参考插补后,0.3,27919.699999999997
annual_income,参考插补后,0.31,28372.0
annual_income,参考插补后,0.32,28811.36
annual_income,参考插补后,0.33,29256.0
annual_income,参考插补后,0.34,29728.66
annual_income,参考插补后,0.35000000000000003,30187.300000000003
annual_income,参考插补后,0.36000000000000004,30674.0
annual_income,参考插补后,0.37,31136.0
annual_income,参考插补后,0.38,31635.62
annual_income,参考插补后,0.39,32134.660000000003
annual_income,参考插补后,0.4,32621.0
annual_income,参考插补后,0.41000000000000003,33147.59
annual_income,参考插补后,0.42000000000000004,33648.58
annual_income,参考插补后,0.43,34170.57
annual_income,参考插补后,0.44,34660.56
annual_income,参考插补后,0.45,35196.0
annual_income,参考插补后,0.46,35734.54
annual_income,参考插补后,0.47000000000000003,36263.53
annual_income,参考插补后,0.48000000000000004,36810.520000000004
annual_income,参考插补后,0.49,37320.0
annual_income,参考插补后,0.5,37891.0
annual_income,参考插补后,0.51,38449.98
annual_income,参考插补后,0.52,38999.479999999996
annual_income,参考插补后,0.53,39599.47
annual_income,参考插补后,0.54,40226.0
annual_income,参考插补后,0.55,40792.8
annual_income,参考插补后,0.56,41423.0
annual_income,参考插补后,0.5700000000000001,42018.0
annual_income,参考插补后,0.5800000000000001,42656.42
annual_income,参考插补后,0.59,43369.41
annual_income,参考插补后,0.6,43980.799999999996
annual_income,参考插补后,0.61,44684.39
annual_income,参考插补后,0.62,45392.0
annual_income,参考插补后,0.63,46062.479999999996
annual_income,参考插补后,0.64,46854.36
annual_income,参考插补后,0.65,47646.40000000001
annual_income,参考插补后,0.66,48411.0
annual_income,参考插补后,0.67,49229.66
annual_income,参考插补后,0.68,49927.32
annual_income,参考插补后,0.6900000000000001,50712.310000000005
annual_income,参考插补后,0.7000000000000001,51517.3
annual_income,参考插补后,0.7100000000000001,52394.450000000004
annual_income,参考插补后,0.72,53296.84
annual_income,参考插补后,0.73,54242.27
annual_income,参考插补后,0.74,55171.780000000006
annual_income,参考插补后,0.75,56051.25
annual_income,参考插补后,0.76,57110.24
annual_income,参考插补后,0.77,58123.23
annual_income,参考插补后,0.78,59304.880000000005
annual_income,参考插补后,0.79,60493.0
annual_income,参考插补后,0.8,61667.200000000004
annual_income,参考插补后,0.81,62953.380000000005
